  0.256248E+01  0.200107E-01  0.200107E-01  0.200107E-01   35454
  0.261076E+01  0.190315E-01  0.190315E-01  0.190315E-01   36434
  0.265874E+01  0.181102E-01  0.181102E-01  0.181102E-01   37682
  0.270679E+01  0.174481E-01  0.174481E-01  0.174481E-01   39294
  0.275540E+01  0.167775E-01  0.167775E-01  0.167775E-01   41426
  0.280396E+01  0.160095E-01  0.160095E-01  0.160095E-01   42066
  0.285204E+01  0.155160E-01  0.155160E-01  0.155160E-01   43490
  0.290041E+01  0.149311E-01  0.149311E-01  0.149311E-01   45702
  0.294896E+01  0.141326E-01  0.141326E-01  0.141326E-01   46634
  0.299732E+01  0.137498E-01  0.137498E-01  0.137498E-01   48554
  0.304523E+01  0.132535E-01  0.132535E-01  0.132535E-01   48870
  0.309316E+01  0.126243E-01  0.126243E-01  0.126243E-01   51554
  0.314188E+01  0.122135E-01  0.122135E-01  0.122135E-01   54090
  0.319055E+01  0.117929E-01  0.117929E-01  0.117929E-01   54314
  0.323890E+01  0.113480E-01  0.113480E-01  0.113480E-01   56910
  0.328715E+01  0.109559E-01  0.109559E-01  0.109559E-01   57482
  0.333562E+01  0.105391E-01  0.105391E-01  0.105391E-01   60626
  0.338390E+01  0.101719E-01  0.101719E-01  0.101719E-01   61206
  0.343191E+01  0.992650E-02  0.992650E-02  0.992650E-02   62570
  0.348020E+01  0.952714E-02  0.952714E-02  0.952714E-02   65730
  0.352860E+01  0.916782E-02  0.916782E-02  0.916782E-02   66686
  0.357713E+01  0.895118E-02  0.895118E-02  0.895118E-02   69698
  0.362544E+01  0.853176E-02  0.853176E-02  0.853176E-02   70026
  0.367371E+01  0.829054E-02  0.829054E-02  0.829054E-02   72746
  0.372214E+01  0.816980E-02  0.816980E-02  0.816980E-02   74910
  0.377042E+01  0.785669E-02  0.785669E-02  0.785669E-02   75722
